Período,F. Lectura Anterior,F. Lectura Actual,Días Fact,Lectura Anterior,Lectura Actual,Consumo m3,Tarifa m3 Agua,$Acu - Cargo Fijo,$Acu - Consumo,$Acu - Subtotal,Tarifa m3 Alcan,$Alc. - Cargo Fijo,$Alc. - Consumo,$Alc. - Subtotal,$Total Acu/Alc,$Contribución,$Subsidio/Aporte,$ Reconexión,$Recargos,$Aseo - Cargo Fijo,$Aseo - Cargo Variable,$Aseo - Aprov.,$Aseo - Total,$Aseo - Ajuste a la Decena,Total Pagar,Tasa de Uso ($/m3),Tasa Retributiva ($/m3),Vencimiento
NOV-2024,02-oct-24,01-nov-24,30,448,458,10,"2.973,00","15.602,00","29.730,00","45.332,00","3.623,00","7.995,00","36.230,00","44.225,00","169.731,00","80.174,00","49.532,00","0,00","0,00","51.022,00","52.681,00","865,00","104.570,00","2,00","274.301,00","11,69","22,68",19-nov-24
DIC-2024,01-nov-24,03-dic-24,32,458,469,11,"2.973,00","15.602,00","32.703,00","48.305,00","3.623,00","7.995,00","39.853,00","47.848,00","179.626,00","83.473,00","49.639,00","0,00","0,00","51.248,00","52.681,00","865,00","104.790,00","-4,00","284.416,00","11,69","22,68",18-dic-24
ENE-2025,3-dic-24,2-ene-25,30,469,480,11,"2.973,00","15.602,00","32.703,00","48.305,00","3.623,00","7.995,00","39.853,00","47.848,00","179.626,00","83.473,00","49.589,00","0,00","0,00","51.156,00","52.681,00","850,00","104.690,00","3,00","284.316,00","11,69","22,68",18-ene-25
FEB-2025,2-ene-25,1-feb-25,30,480,491,11,"2.973,00","15.602,00","32.703,00","48.305,00","3.623,00","7.995,00","39.853,00","47.848,00","179.626,00","83.473,00","0,00","0,00","0,00","55.447,00","51.898,00","653,00","108.000,00","2,00","287.626,00","11,69","22,68",17-feb-25
MAR-2025,1-feb-25,3-mar-25,30,491,501,10,"2.974,00","15.602,00","29.740,00","45.342,00","3.639,00","7.995,00","36.390,00","44.385,00","169.986,00","80.259,00","0,00","0,00","0,00","55.723,00","53.119,00","665,00","109.505,00","-2,00","279.491,00","13,15","24,73",18-mar-25
ABR-2025,3-mar-25,3-abr-25,31,501,505,4,"3.074,00","16.127,00","12.296,00","28.423,00","3.760,00","8.264,00","15.040,00","23.304,00","114.177,00","62.450,00","0,00","0,00","0,00","55.326,00","53.119,00","650,00","109.100,00","5,00","223.277,00","13,15","24,73",19-abr-25
MAY-2025,3-abr-25,3-may-25,30,505,505,0,"0,00","16.127,00","0,00","16.127,00","0,00","8.264,00","0,00","8.264,00","73.172,00","48.782,00","52.288,00","0,00","0,00","55.682,00","54.136,00","650,00","110.470,00","2,00","183.642,00","13,15","24,73",19-may-25
JUN-2025,3-may-25,3-jun-25,30,505,505,0,"0,00","16.127,00","0,00","16.127,00","0,00","8.264,00","0,00","8.264,00","110.207,00","48.782,00","52.288,00","37.011,00","41,00","55.601,00","54.132,00","650,00","110.400,00","-1,00","220.607,00","13,15","24,73",19-jun-25
JUL-2025,03-jun-25,03-jul-25,30,505,505,0,"0,00","16.127,00","0,00","16.127,00","0,00","8.264,00","0,00","8.264,00","73.173,00","48.782,00","52.151,00","0,00","0,00","55.624,00","53.822,00","650,00","110.100,00","4,00","183.273,00","13,15","24,73",18-jul-25
AGO-2025,03-jul-25,02-ago-25,30,505,505,0,"0,00","16.127,00","0,00","16.127,00","0,00","8.264,00","0,00","8.264,00","73.173,00","48.782,00","53.125,00","0,00","0,00","63.228,00","48.275,00","652,00","112.160,00","5,00","185.333,00","13,15","24,73",18-ago-25
SEPT-2025,02-ago-25,02-sept-25,31,505,509,4,"3.074,00","16.127,00","12.296,00","28.423,00","3.760,00","8.264,00","15.040,00","23.304,00","114.177,00","62.450,00","36.274,00","0,00","0,00","68.735,00","49.415,00","651,00","118.801,00","0,00","232.978,00","13,15","24,73",16-sept-25
OCT-2025,02-sept-25,02-oct-25,30,509,521,12,"3.167,00","16.619,00","38.004,00","54.623,00","3.874,00","8.516,00","46.488,00","55.004,00","202.143,00","92.516,00","62.962,00","0,00","1,00","82.729,00","49.418,00","773,00","132.920,00","-1,00","335.063,00","13,15","24,73",16-oct-25
NOV-2025,02-oct-25,01-nov-25,30,521,529,8,"3.167,00","16.619,00","25.336,00","41.955,00","3.874,00","8.516,00","30.992,00","39.508,00","159.897,00","78.434,00","71.459,00","0,00","0,00","91.334,00","49.418,00","773,00","141.521,00","-4,00","301.418,00","13,15","24,73",17-nov-25
DIC-2025,1-nov-25,2-dic-25,31,529,542,13,"3.167,00","16.619,00","41.171,00","57.790,00","3.874,00","8.516,00","50.362,00","58.878,00","212.705,00","96.037,00","62.331,00","0,00","0,00","82.243,00","49.418,00","773,00","132.430,00","-4,00","345.135,00","13,15","24,73",18-dic-25
