Período,Factura,Fecha Emisión,Fecha Inicio,Fecha Final,# Días,Lectura Ant,Lectura Act,Consumo M3,Valor M3,Factor Corrección,Valor $ Gas,Cargo Fijo $,Contrib/Sub$,Brilla $,Ajustes $,Valor Factura,Fecha Suspensión,Último Pago Fecha,Cupo Brilla,Estado Revisión,Observación Lectura
ENE-2025,,,25-nov-2024,24-dic-2024,"29,00",652,663,12,"2.569,42","0,9811",30.833,3.633,6.893,0,0,41.359,14-ene-2025,,5.850.000,Al día,Normal
FEB-2025,,,24-dic-2024,24-ene-2025,"31,00",663,672,9,"2.604,00","0,9811",23.436,3.638,5.415,0,0,32.489,17-feb-2025,,5.850.000,Al día,Normal
MAR-2025,,,24-ene-2025,24-feb-2025,"31,00",672,680,8,"2.896,00","0,9818",23.168,3.650,5.364,0,0,32.182,16-mar-2025,,5.850.000,Al día,Normal
ABR-2025,,,24-feb-2025,25-mar-2025,"29,00",680,684,4,,,,,,,,32.182,,,,,
MAY-2025,,,25-mar-2025,24-abr-2025,"30,00",684,684,0,,"0,9781",0,3.717,743,0,0,4.460,15-may-2025,,8.600.000,Al día,Normal
JUN-2025,,,24-abr-2025,26-may-2025,"32,00",684,684,0,,"0,9764",0,3.732,746,0,0,4.478,16-jun-2025,,8.600.000,Al día,
JUL-2025,,,26-may-2025,25-jun-2025,"30,00",684,684,0,,,0,,,,,4.502,,,,,
AGO-2025,,,25-jun-2025,25-jul-2025,"30,00",684,684,0,,"0,9757",0,3.758,752,0,0,4.511,14-ago-2025,,8.600.000,Al día,Normal
SEP-2025,,,25-jul-2025,25-ago-2025,"31,00",684,685,1,"3.007,00","0,9757",3.007,3.758,1.353,0,0,8.119,13-sept-2025,,8.600.000,Al día,Normal
OCT-2025,,,25-ago-2025,26-sept-2025,"32,00",685,695,11,"2.971,00","0,9765",32.681,3.764,7.289,0,0,43.734,20-oct-2025,,8.600.000,Al día,Estimado por Desviación
NOV-2025,,,25-ago-2025,24-oct-2025,"60,00",695,703,8,"2.191,25","0,9775",17.530,3.766,4.260,0,0,25.556,20-nov-2025,,,Al día,Normal
DIC-2025,,,24-oct-2025,25-nov-2025,"32,00",703,713,10,"2.870,00","0,9775",28.700,3.774,6.495,0,0,38.969,21-dic-2025,,8.600.000,Al día,Normal
